"","Grade_Level","Raw_Eth_Race","Num_Eth_Race","Eth_W","Eth_H","Eth_B","Eth_O","Economic_Disadvantage","English_Learner","Special_Ed","Gifted_Talented","Number_Discipline_Incidents","YN_Discipline","Num_Gender","Num_Campus_Name","CheetoMS1","PizzaMS2","TunaMS3","MustardMS4","WatermelonMS5","ELA_Avg","Math_Pass","ELA_Pass"
"993",8,"W",1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,87.5,1,1
"4251",7,"W",1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,66.5,1,0
"4821",8,"B",3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,86,1,1
"1606",8,"W",1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,81,1,1
"3637",6,"A",4,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,95,1,1
"1687",7,"H",2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,78,1,1
"4843",8,"A",4,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,90.5,1,1
"1969",7,"W",1,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,82.5,1,1
"1884",6,"A",4,0,0,0,1,1,0,0,1,0,0,1,3,0,0,1,0,0,86,1,1
"2777",6,"W",1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,94.5,1,1
"2298",6,"H",2,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,87,1,1
"975",6,"B",3,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,92.5,1,1
"2115",7,"H",2,0,1,0,0,1,0,0,0,0,0,1,3,0,0,1,0,0,78.5,1,1
"461",8,"W",1,1,0,0,0,0,0,0,1,1,1,0,4,0,0,0,1,0,91.5,1,1
"571",8,"B",3,0,0,1,0,1,0,0,0,2,1,0,2,0,1,0,0,0,65,0,0
"2178",6,"W",1,1,0,0,0,0,0,0,1,0,0,1,4,0,0,0,1,0,94.5,1,1
"995",8,"W",1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,89,1,1
"2116",8,"H",2,0,1,0,0,1,0,0,0,0,0,1,3,0,0,1,0,0,81.5,1,1
"4851",7,"H",2,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,80,1,1
"4100",8,"H",2,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,75,0,1
"1419",7,"W",1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,87.5,1,1
"2946",7,"W",1,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,89,1,1
"4443",7,"A",4,0,0,0,1,1,0,0,1,0,0,0,5,0,0,0,0,1,87,1,1
"2241",6,"I",6,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,85,1,1
"729",8,"W",1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,81.5,1,1
"636",8,"H",2,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,79,0,1
"122",7,"W",1,1,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,89,1,1
"3636",8,"B",3,0,0,1,0,0,0,0,0,0,0,1,3,0,0,1,0,0,84,1,1
"1843",7,"W",1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,89.5,1,1
"2835",7,"W",1,1,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,73,1,1
"4073",8,"H",2,0,1,0,0,1,0,0,0,0,0,1,3,0,0,1,0,0,86,1,1
"4014",7,"B",3,0,0,1,0,1,0,0,0,0,0,0,3,0,0,1,0,0,83.5,1,1
"4305",8,"W",1,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,88.5,1,1
"546",7,"H",2,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,91.5,1,1
"4697",7,"W",1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,91,1,1
"2805",6,"B",3,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,84,1,1
"182",7,"W",1,1,0,0,0,0,0,1,0,1,1,0,3,0,0,1,0,0,73,1,1
"1209",8,"W",1,1,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,82.5,1,1
"4822",6,"W",1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,89.5,1,1
"4363",7,"W",1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,80.5,1,1
"1187",8,"B",3,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,1,0,86,1,1
"3728",6,"A",4,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,1,78.5,1,1
"2771",6,"W",1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,85.5,1,1
